,Date,col_num,food_col_kg,age
0,2025-08-28,1,0.0,32
1,2025-08-28,16,8.4,32
2,2025-08-28,17,8.0,32
3,2025-08-28,9,5.6,32
4,2025-08-28,10,3.6,32
5,2025-08-28,24,3.6,32
6,2025-08-28,23,4.0,32
7,2025-08-28,22,6.4,32
8,2025-08-28,21,7.2,32
9,2025-08-28,10,3.6,32
10,2025-08-28,11,0.0,32
11,2025-08-28,12,0.0,32
12,2025-08-28,4,5.6,32
13,2025-08-28,3,6.8,32
14,2025-08-28,18,7.2,32
15,2025-08-28,15,0.0,32
16,2025-08-28,26,0.0,32
17,2025-08-28,28,6.0,32
18,2025-08-28,25,0.0,32
19,2025-08-28,17,8.0,32
20,2025-08-28,23,4.0,32
21,2025-08-28,16,8.4,32
22,2025-08-28,22,6.4,32
23,2025-08-28,27,0.0,32
24,2025-08-28,19,7.6,32
25,2025-08-28,24,3.6,32
26,2025-08-28,1,0.0,32
27,2025-08-28,14,4.8,32
28,2025-08-28,5,5.6,32
29,2025-08-28,15,0.0,32
30,2025-08-28,6,4.8,32
31,2025-08-28,7,7.2,32
32,2025-08-28,8,3.2,32
33,2025-08-28,9,5.6,32
34,2025-08-28,2,6.0,32
35,2025-08-28,14,4.8,32
36,2025-08-28,13,0.0,32
37,2025-08-28,20,7.6,32
38,2025-08-28,18,7.2,32
39,2025-08-28,20,7.6,32
40,2025-08-28,21,7.2,32
41,2025-08-28,13,0.0,32
42,2025-08-28,12,0.0,32
43,2025-08-28,11,0.0,32
44,2025-08-28,27,0.0,32
45,2025-08-28,25,0.0,32
46,2025-08-28,4,5.6,32
47,2025-08-28,2,6.0,32
48,2025-08-28,5,5.6,32
49,2025-08-28,19,7.6,32
50,2025-08-28,7,7.2,32
51,2025-08-28,26,0.0,32
52,2025-08-28,8,3.2,32
53,2025-08-28,3,6.8,32
54,2025-08-28,28,6.0,32
55,2025-08-28,6,4.8,32
56,2025-08-29,4,9.6,33
57,2025-08-29,21,9.6,33
58,2025-08-29,14,10.4,33
59,2025-08-29,15,0.0,33
60,2025-08-29,28,8.8,33
61,2025-08-29,3,10.4,33
62,2025-08-29,5,11.2,33
63,2025-08-29,6,10.0,33
64,2025-08-29,23,9.6,33
65,2025-08-29,7,11.2,33
66,2025-08-29,11,0.0,33
67,2025-08-29,16,10.4,33
68,2025-08-29,13,0.0,33
69,2025-08-29,1,0.0,33
70,2025-08-29,27,0.0,33
71,2025-08-29,22,8.8,33
72,2025-08-29,17,10.4,33
73,2025-08-29,18,8.8,33
74,2025-08-29,19,8.4,33
75,2025-08-29,8,8.4,33
76,2025-08-29,2,8.8,33
77,2025-08-29,12,0.0,33
78,2025-08-29,24,8.4,33
79,2025-08-29,25,0.0,33
80,2025-08-29,26,0.0,33
81,2025-08-29,9,10.0,33
82,2025-08-29,1,0.0,33
83,2025-08-29,10,6.8,33
84,2025-08-29,24,8.4,33
85,2025-08-29,19,8.4,33
86,2025-08-29,4,9.6,33
87,2025-08-29,27,0.0,33
88,2025-08-29,12,0.0,33
89,2025-08-29,25,0.0,33
90,2025-08-29,20,9.6,33
91,2025-08-29,2,8.8,33
92,2025-08-29,6,10.0,33
93,2025-08-29,28,8.8,33
94,2025-08-29,20,9.6,33
95,2025-08-29,9,10.0,33
96,2025-08-29,18,8.8,33
97,2025-08-29,11,0.0,33
98,2025-08-29,22,8.8,33
99,2025-08-29,23,9.6,33
100,2025-08-29,16,10.4,33
101,2025-08-29,17,10.4,33
102,2025-08-29,7,11.2,33
103,2025-08-29,8,8.4,33
104,2025-08-29,5,11.2,33
105,2025-08-29,3,10.4,33
106,2025-08-29,26,0.0,33
107,2025-08-29,13,0.0,33
108,2025-08-29,15,0.0,33
109,2025-08-29,14,10.4,33
110,2025-08-29,10,6.8,33
111,2025-08-29,21,9.6,33
112,2025-08-30,7,13.6,34
113,2025-08-30,2,11.2,34
114,2025-08-30,4,12.0,34
115,2025-08-30,5,14.0,34
116,2025-08-30,20,12.4,34
117,2025-08-30,6,13.6,34
118,2025-08-30,22,10.0,34
119,2025-08-30,2,11.2,34
120,2025-08-30,3,13.6,34
121,2025-08-30,4,12.0,34
122,2025-08-30,5,14.0,34
123,2025-08-30,8,9.6,34
124,2025-08-30,1,0.0,34
125,2025-08-30,17,12.4,34
126,2025-08-30,23,9.2,34
127,2025-08-30,3,13.6,34
128,2025-08-30,6,13.6,34
129,2025-08-30,10,10.0,34
130,2025-08-30,13,0.0,34
131,2025-08-30,12,0.0,34
132,2025-08-30,1,0.0,34
133,2025-08-30,16,11.2,34
134,2025-08-30,14,12.0,34
135,2025-08-30,18,10.8,34
136,2025-08-30,19,11.6,34
137,2025-08-30,7,13.6,34
138,2025-08-30,9,12.0,34
139,2025-08-30,15,0.0,34
140,2025-08-30,23,9.2,34
141,2025-08-30,18,10.8,34
142,2025-08-30,11,0.0,34
143,2025-08-30,10,10.0,34
144,2025-08-30,14,12.0,34
145,2025-08-30,26,0.0,34
146,2025-08-30,16,11.2,34
147,2025-08-30,27,0.0,34
148,2025-08-30,11,0.0,34
149,2025-08-30,25,0.8,34
150,2025-08-30,28,11.6,34
151,2025-08-30,21,12.4,34
152,2025-08-30,13,0.0,34
153,2025-08-30,12,0.0,34
154,2025-08-30,28,11.6,34
155,2025-08-30,15,0.0,34
156,2025-08-30,24,9.6,34
157,2025-08-30,17,12.4,34
158,2025-08-30,19,11.6,34
159,2025-08-30,20,12.4,34
160,2025-08-30,8,9.6,34
161,2025-08-30,9,12.0,34
162,2025-08-30,22,10.0,34
163,2025-08-30,24,9.6,34
164,2025-08-30,25,0.8,34
165,2025-08-30,26,0.0,34
166,2025-08-30,27,0.0,34
167,2025-08-30,21,12.4,34
168,2025-08-31,23,11.6,35
169,2025-08-31,2,12.8,35
170,2025-08-31,14,14.0,35
171,2025-08-31,17,14.0,35
172,2025-08-31,3,15.6,35
173,2025-08-31,26,0.0,35
174,2025-08-31,25,2.0,35
175,2025-08-31,4,13.6,35
176,2025-08-31,21,10.8,35
177,2025-08-31,15,0.0,35
178,2025-08-31,19,13.6,35
179,2025-08-31,13,0.0,35
180,2025-08-31,8,10.4,35
181,2025-08-31,10,11.6,35
182,2025-08-31,12,0.0,35
183,2025-08-31,28,13.2,35
184,2025-08-31,1,0.0,35
185,2025-08-31,27,0.0,35
186,2025-08-31,11,0.0,35
187,2025-08-31,16,13.6,35
188,2025-08-31,6,16.0,35
189,2025-08-31,18,13.2,35
190,2025-08-31,7,14.8,35
191,2025-08-31,5,14.8,35
192,2025-08-31,22,10.8,35
193,2025-08-31,24,12.8,35
194,2025-08-31,9,12.8,35
195,2025-08-31,20,13.6,35
196,2025-08-31,25,2.0,35
197,2025-08-31,24,12.8,35
198,2025-08-31,1,0.0,35
199,2025-08-31,23,11.6,35
200,2025-08-31,13,0.0,35
201,2025-08-31,19,13.6,35
202,2025-08-31,8,10.4,35
203,2025-08-31,26,0.0,35
204,2025-08-31,14,14.0,35
205,2025-08-31,22,10.8,35
206,2025-08-31,17,14.0,35
207,2025-08-31,21,10.8,35
208,2025-08-31,9,12.8,35
209,2025-08-31,4,13.6,35
210,2025-08-31,2,12.8,35
211,2025-08-31,7,14.8,35
212,2025-08-31,15,0.0,35
213,2025-08-31,16,13.6,35
214,2025-08-31,6,16.0,35
215,2025-08-31,3,15.6,35
216,2025-08-31,20,13.6,35
217,2025-08-31,5,14.8,35
218,2025-08-31,28,13.2,35
219,2025-08-31,11,0.0,35
220,2025-08-31,27,0.0,35
221,2025-08-31,10,11.6,35
222,2025-08-31,12,0.0,35
223,2025-08-31,18,13.2,35
224,2025-09-01,9,15.6,36
225,2025-09-01,11,0.0,36
226,2025-09-01,8,14.0,36
227,2025-09-01,2,14.8,36
228,2025-09-01,10,12.4,36
229,2025-09-01,15,0.0,36
230,2025-09-01,5,17.2,36
231,2025-09-01,12,0.0,36
232,2025-09-01,6,18.4,36
233,2025-09-01,7,18.4,36
234,2025-09-01,13,0.0,36
235,2025-09-01,19,18.8,36
236,2025-09-01,3,18.0,36
